"","sample","genome_territory","mean_coverage","sd_coverage","pct_1x","pct_5x","total_reads","pf_hq_aligned_reads"
"32","CT_late_2_02",950193284,0.875813,4.680122,0.152771,0.061676,11574239,11574239
"33","CT_late_2_03",950193284,0.67171,4.062088,0.129327,0.046762,8889597,8889597
"34","CT_late_2_04",950193284,0.954821,4.951629,0.162758,0.067749,12651139,12651139
"35","CT_late_2_05",950193284,1.107574,5.52909,0.174782,0.075778,14822215,14822215
"36","CT_late_2_06",950193284,1.312419,6.186068,0.185851,0.08795,17469183,17469183
"37","CT_late_2_07",950193284,1.020279,4.896304,0.172353,0.072625,17069610,17069610
"38","CT_late_2_08",950193284,1.637074,7.443458,0.197916,0.10289,22289405,22289405
"39","CT_late_2_09",950193284,1.30718,6.397228,0.179989,0.085554,17617163,17617163
"40","CT_late_2_10",950193284,1.220005,6.206764,0.174698,0.080965,16873128,16873128
"41","CT_peak_1_01",950193284,0.956418,4.689659,0.163274,0.068061,12244491,12244491
"42","CT_peak_1_02",950193284,0.904593,4.293438,0.159986,0.066353,11576528,11576528
"43","CT_peak_1_03",950193284,1.025011,4.597199,0.17627,0.075192,13179335,13179335
"44","CT_peak_1_05",950193284,0.494032,2.904605,0.10969,0.035552,6282961,6282961
"45","CT_peak_1_06",950193284,0.710622,3.731721,0.140353,0.051548,9175623,9175623
"46","CT_peak_1_07",950193284,0.742432,3.899602,0.143307,0.053476,9502811,9502811
"47","CT_peak_1_08",950193284,1.561199,3.339977,0.335837,0.129157,13073397,13073397
"48","CT_peak_1_09",950193284,0.996231,4.624612,0.172715,0.071945,12760789,12760789
"49","CT_peak_1_10",950193284,0.916949,4.2903,0.166118,0.067023,11885215,11885215
"50","CT_peak_2_01",950193284,0.873013,4.227614,0.160118,0.063651,11288872,11288872
"51","CT_peak_2_02",950193284,0.554965,3.199641,0.117697,0.03974,7093849,7093849
"52","CT_peak_2_03",950193284,0.85057,4.456638,0.154118,0.05977,11045844,11045844
"53","CT_peak_2_04",950193284,1.549519,6.504214,0.210529,0.104335,20421914,20421914
"54","CT_peak_2_05",950193284,0.677738,3.634729,0.13354,0.049175,8701902,8701902
"55","CT_peak_2_06",950193284,1.338754,5.725911,0.202414,0.093128,17404038,17404038
"56","CT_peak_2_07",950193284,0.867607,4.233314,0.158121,0.062627,11686859,11686859
"57","CT_peak_2_08",950193284,0.794407,2.701849,0.19672,0.060718,6850972,6850972
"58","CT_peak_2_09",950193284,1.721741,4.393226,0.330234,0.137386,14954489,14954489
"59","CT_peak_2_10",950193284,1.669009,4.585153,0.316692,0.13144,14420599,14420599
"60","FH_late_1_01",950193284,1.234753,4.598966,0.227958,0.094215,13183800,13183800
"61","FH_late_1_02",950193284,0.776622,3.251633,0.171932,0.059019,8229827,8229827
"62","FH_late_1_03",950193284,1.220148,4.529251,0.22378,0.09295,12904952,12904952
"63","FH_late_1_04",950193284,0.758324,3.303221,0.166033,0.057201,8029370,8029370
"64","FH_late_1_05",950193284,1.046501,4.015629,0.206422,0.080435,11070283,11070283
"65","FH_late_1_06",950193284,0.903406,3.60439,0.19109,0.069128,9546582,9546582
"66","FH_late_1_07",950193284,1.074578,4.193145,0.209541,0.081626,11464822,11464822
"67","FH_late_1_08",950193284,1.333915,4.851591,0.234984,0.101477,14193811,14193811
"68","FH_late_1_09",950193284,0.849997,3.429304,0.187097,0.064923,9145548,9145548
"69","FH_late_1_10",950193284,0.627144,2.737967,0.152504,0.046921,6724838,6724838
"70","FH_late_2_01",950193284,0.750661,3.129553,0.169,0.057484,8065382,8065382
